rater,format,PCA,DDI,EDP,AAS,RCG,rationale
opus47,video,4,3,4,5,2,"AAS scores highest (5) because short-form video platforms' algorithms natively reward the engagement patterns, repetition, and scale that AI video generation produces. RCG is lowest (2) because video deepfakes are explicitly named in the EU AI Act, China's deep synthesis labeling law, and Korea's AI Basic Act — making this the most-regulated AI format, though enforcement remains uneven. DDI sits mid-scale (3) as deepfake detectors exist but degrade against compression, re-encoding, and adversarial post-processing common on Shorts/Reels."
opus47,audio,5,4,4,3,3,"PCA is highest (5) because consumer-grade voice cloning APIs (ElevenLabs, OpenAI Voice) produce deployable audio for cents per minute, replacing hours of voice-actor labor. DDI is high (4) because audio deepfake detectors exist but degrade severely under codec compression, phone-channel transmission, and adversarial perturbation. AAS is mid (3) because podcast/audio platforms are largely format-neutral without the engagement-bait amplification dynamics of short-form video."
opus47,image,5,3,4,4,3,"PCA is highest (5) because a single consumer API call to image generators like Midjourney or DALL-E produces deployable images in seconds, replacing hours of illustrator or photographer work at roughly 1/100 the cost. DDI sits at 3 because detectors like Hive and synthetic-image classifiers exist but degrade substantially under adversarial post-processing, compression, and inpainting. RCG is mid-range (3) because the EU AI Act and China's labeling law nominally cover synthetic images via disclosure requirements, but enforcement against the long tail of social-media images is minimal."
opus47,text,5,3,4,4,3,"PCA is maximal because a single consumer LLM API call produces deployable prose at roughly 1/100 the cost of a human writer, making text the prototypical low-cost AI output. DDI sits at 3 because GPTZero-class detectors and watermarking research exist for text but degrade sharply under paraphrase and mixed human-AI editing. EDP is 4 given documented harms to search ecosystems, news credibility, and scientific record (paper mills), though most instances remain commerce/SEO rather than acute democratic-process damage."
opus47,hybrid_card_news,5,5,4,5,5,"PCA, DDI, AAS, and RCG all score 5: hybrid card news can be generated end-to-end by a single multimodal API call (image + overlay text) for cents versus hours of designer labor, no peer-reviewed detector targets the image-text hybrid modality, Instagram/Naver feeds natively reward carousel engagement patterns, and no major AI-content statute names card news or carousels as a covered format. EDP is 4 rather than 5 because card news is heavily used for health, financial, and political explainers in Korea and beyond, causing serious downstream harm, but it sits just below formats with direct market-moving or election-rigging capacity."
opus47,fake_reviews,5,4,3,4,3,"PCA is highest (5) because a single LLM API call costing fractions of a cent replaces a human reviewer's 10-30 minutes of product use and writing, with no fine-tuning needed for plausible output. EDP is moderate (3) since fake reviews damage commerce and consumer trust significantly but rarely threaten democratic, health, or financial systems at scale. RCG sits at 3 because FTC's 2024 fake-reviews rule and EU consumer-protection directives nominally cover this, but enforcement against AI-generated reviews specifically remains sparse and inconsistent across platforms."
opus47,academic_papers,4,4,5,2,4,"EDP scores highest (5) because AI-generated papers directly corrupt the scientific record, citation graphs, and downstream policy/medical decisions—paper mills already demonstrate severe harm. AAS scores lowest (2) because academic distribution channels (arXiv, journals, peer review) are not algorithmic engagement feeds and have explicit friction (review, moderation, retraction). PCA is high (4) since LLMs can draft manuscript-quality prose for cents versus weeks of human writing, though deployable rigor still needs some human scaffolding; DDI is high (4) as detectors degrade sharply on paraphrased scientific text; RCG is 4 because AI-content statutes rarely name scholarly publishing specifically, leaving enforcement to journal policies."
opus47,news_articles,5,3,5,4,3,"PCA is maximal because LLMs can generate deployable news articles via a single API call, replacing hours of journalist labor at roughly 1/100 the cost. EDP is maximal because AI-generated news directly harms democratic process, public health discourse, and the integrity of the journalistic record. DDI sits at 3 because long-form English news has the most mature detector research, but adversarial paraphrase and human post-editing substantially degrade AUROC."
sonnet46,video,2,3,4,5,3,"AAS scores highest (5) because TikTok/Shorts/Reels algorithms explicitly reward the engagement patterns AI video exploits — hooks, loops, novelty — amplifying at scale natively. PCA scores lowest (2) because fully synthetic video at deployable quality still requires meaningful compute cost and often manual prompt iteration or post-processing, keeping it closer to 1/10 than 1/100 cost reduction versus human production. EDP is high (4) due to deepfake/dubbing potential for political misinformation and non-consensual content, though not quite at the systemic infrastructure-harm level of, say, scientific record pollution."
sonnet46,audio,5,4,4,3,3,"PCA scores 5 because TTS and voice-cloning APIs (ElevenLabs, OpenAI TTS) reduce podcast-quality audio production from hours of recording/editing to a single API call at near-zero marginal cost. DDI scores 4 because while some spectral and prosody-based detectors exist, they degrade substantially under voice-cloning fine-tuned on target speakers and across compression codecs used by Spotify/podcast apps. EDP scores 4 due to high harm potential from cloned-voice disinformation (impersonating politicians, executives, or family members in voice messages), though saturation of generic AI podcast content poses lower systemic risk than deepfake audio in high-stakes contexts."
sonnet46,image,5,3,3,4,2,"PCA scores 5 because consumer diffusion models (Midjourney, DALL-E, Stable Diffusion) replace hours of photography or illustration work with a single API call at negligible cost. RCG scores 2 because still images are the most explicitly addressed format in current AI labeling frameworks — the EU AI Act, China's deep synthesis regulations, and platform C2PA/SynthID initiatives all name image provenance specifically, giving partial but active coverage. DDI scores 3 because while detectors like SynthID and various CNN-based classifiers exist with reasonable in-domain performance, adversarial post-processing (JPEG compression, cropping, color grading) degrades detection substantially in realistic distribution."
sonnet46,text,5,3,4,4,3,"PCA scores 5 because a single API call to any major LLM replaces hours of human writing at deployable quality with near-zero marginal cost. DDI scores 3 because text detectors exist but degrade sharply under paraphrase or stylometric mixing, making adversarial evasion trivial. EDP scores 4 because SEO saturation and misinformation at scale erode epistemic infrastructure and consumer trust, though the damage is slower and more diffuse than in health or financial contexts."
sonnet46,hybrid_card_news,4,4,3,5,4,"AAS scores highest (5) because Instagram, Naver, and KakaoTalk algorithms natively reward the carousel/card-news format's swipe-engagement signals and repeat-panel patterns, creating direct amplification incentives for AI-generated volume. DDI scores 4 because image-text hybrid detection requires joint vision-language models, and while multimodal detectors exist, they degrade significantly on Korean-market card news where training data is sparse and adversarial paraphrasing of the text layer trivially breaks text-only classifiers. EDP scores 3 rather than higher because card news dominates health, financial, and political communication in Korea but its damage, while real, remains regionally concentrated and partially recoverable through platform-level takedowns."
sonnet46,fake_reviews,5,4,4,3,2,"PCA scores highest because a single API call can produce a plausible, star-rated review in seconds, replacing what would take a human 10–30 minutes of authentic experience plus writing time — enabling mass deployment at near-zero marginal cost. RCG scores lowest because fake reviews are partially covered by existing FTC endorsement rules, EU consumer protection directives, and platform-level enforcement mechanisms that explicitly target inauthentic reviews, giving partial but real regulatory traction. DDI is high (4) because short-form, style-mimicking text is trivially paraphrased to evade classifiers, and no peer-reviewed detector achieves robust AUROC specifically on fake review identification under adversarial conditions."
sonnet46,academic_papers,5,3,5,2,3,"PCA and EDP both score 5: a single API call can generate a plausible-looking abstract or methods section in seconds versus the weeks a human researcher requires, and saturation of AI-generated papers directly corrupts the scientific record, citation graphs, and downstream policy/health decisions in ways that are not recoverable. AAS scores 2 because academic distribution channels (arXiv, journal submission systems) do not use engagement-based recommendation algorithms and some venues have introduced AI-disclosure friction. DDI scores 3 because stylometric and perplexity-based detectors exist for long-form academic text but degrade meaningfully under light paraphrase or fine-tuned generation."
sonnet46,news_articles,5,3,5,3,3,"PCA scores 5 because a single API call can produce a full news article indistinguishable from human journalism in seconds, replacing hours of reporting, writing, and editing. EDP scores 5 because news articles directly shape political beliefs, public health decisions, and financial behavior — saturation with AI-generated content structurally corrupts the epistemic commons. DDI scores 3 because text detectors exist but degrade significantly under paraphrase and stylistic mimicry, and news-specific adversarial prompting is trivial; RCG scores 3 because EU AI Act and FTC rules touch synthetic media and deceptive content in principle but enforcement against AI news farms at scale remains largely absent."
gemini25pro,video,5,4,5,5,3,"The highest scores in Production Cost Asymmetry, Ecosystem Damage Potential, and Algorithmic Amplification reflect that AI video is incredibly cheap to produce relative to human labor, is easily amplified by social media algorithms, and can cause severe harm to democratic processes and public trust. The lowest score in Regulatory Coverage Gap acknowledges that while some laws are in place, they are not yet comprehensive or consistently enforced for this rapidly evolving format."
gemini25pro,audio,5,3,5,5,3,"The highest scores (PCA, EDP, AAS) reflect that AI audio is extremely cheap to generate, has severe potential for harm through scams and disinformation, and is highly amplified by social media algorithms. The lowest scores (DDI, RCG) acknowledge that while detectors and regulations exist, they are not comprehensive, can be evaded, and are challenging to enforce at scale."
gemini25pro,image,5,4,5,5,3,"The highest scores in Production Cost Asymmetry (PCA), Ecosystem Damage Potential (EDP), and Algorithmic Amplification (AAS) reflect that AI can generate vast quantities of visually-engaging or deceptive images for nearly zero cost, which can cause severe societal harm and are readily amplified by current social media algorithms. The lowest score, Regulatory Coverage Gap (RCG), is a 3 because while some major regulations like the EU AI Act have begun to address AI content, global coverage is patchy and enforcement in the fast-paced online environment remains a massive, unsolved challenge."
gemini25pro,text,5,3,5,5,3,"The highest scores (PCA, EDP, AAS) reflect that text is exceptionally cheap to generate at scale with AI and can cause severe ecosystem harm by gaming algorithms designed to amplify text-based content. The lowest scores (DDI, RCG) acknowledge that while detection tools and regulations exist, they are still immature and largely unenforced, representing a partial but insufficient response."
gemini25pro,hybrid_card_news,5,5,5,5,3,"The highest scores (5) reflect that this format is a near-perfect vehicle for scalable AI-driven influence: it is incredibly cheap to mass-produce with AI, the composite artifact is difficult to detect, it is highly effective for spreading news-style misinformation, and it is strongly amplified by platform algorithms. The lowest score (3) for RCG indicates that while general AI regulations may apply in principle, this specific infographic-style format is not an explicit focus, creating a practical enforcement gap."
gemini25pro,fake_reviews,5,4,4,5,3,"The highest scores, PCA and AAS, reflect that AI makes review generation exceptionally cheap and that platform algorithms are designed to amplify the very signals being faked, such as review volume and ratings. The lowest score, RCG, is due to the existence of consumer protection laws that already prohibit fake reviews in many regions, even if enforcement against AI-generated content at scale remains a significant practical challenge."
gemini25pro,academic_papers,5,4,5,1,3,"The highest scores, EDP and PCA, reflect the severe potential harm to the scientific record from AI-generated papers and the extreme cost asymmetry between producing fake papers with AI versus legitimate ones with human labor. The lowest score, AAS, is due to the format's inherent friction with major algorithmic platforms, which do not typically amplify dense, long-form scholarly content."
gemini25pro,news_articles,5,4,5,4,3,"The highest scores in Ecosystem Damage Potential (EDP) and Production Cost Asymmetry (PCA) reflect the severe societal risk of AI-generated articles, which can be mass-produced at a tiny fraction of the cost of human journalism to inflict serious harm on democratic processes. The lowest score for Regulatory Coverage Gap (RCG) acknowledges that while initial regulations are in place in some jurisdictions, their practical enforcement against a flood of global, pseudonymous content remains a major, unresolved challenge."
